	
		Risultati incontri
		2a di Serie A
		1a Camp. (1a Andata) Serie A
		Team Fly						Real Sivori
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	PR	CHRISTENSEN Oliver	6	-2	4	P	PERIN Mattia	6,5	-1	5,5
	D	BELLANOVA Raoul	5,5	0	5,5	D	HERNANDEZ Theo Bernard	7	2,5	9,5
	D	CALABRIA Davide	6,5	0	6,5	D	ROMAGNOLI Alessio	5	0	5
	D	JUAN JESUS Guilherme Nunes	6,5	0	6,5	D	TOMORI Fikayo	6,5	0	6,5
	D	SCALVINI Giorgio	5	0	5	C	BARELLA Nicolo`	6	0	6
	C	FRATTESI Davide	6	0	6	C	CHIESA Federico	5,5	0	5,5
	C	NANDEZ Nahitan Michel	6,5	0	6,5	C	FAGIOLI Nicolo`	5,5	0	5,5
	C	REIJNDERS Tijjani	7	0	7	C	KOOPMEINERS Teun	5	0	5
	A	OSIMHEN Victor James	7	2	9	C	MKHITARYAN Henrikh	6	-0,5	5,5
	A	PULISIC Christian Mate	7,5	3	10,5	A	ANDERSON Felipe	5	0	5
	A	ZAPATA Duvan Esteban	6	3	9	A	CAPRARI Gianluca	6,5	0	6,5
				Parziale squadra	75,5					Parziale squadra	65,5
				Totale squadra	76,5					Totale squadra	65,5
				Gol	2					Gol	0
	
		Sostituiti, panchina e tribuna				Sostituiti, panchina e tribuna		
	Ps	TERRACCIANO Pietro	sv/ng	0	sv/ng	P	PINSOGLIO Carlo	sv/ng	0	sv/ng
	D	ZORTEA Nadir	5,5	0	5,5	D	LAZZARI Manuel	5	0	5
	D	VOJVODA Mergim	5,5	0	5,5	D	THIAW Malick Laye	6,5	-0,5	6
	D	LOVATO Matteo	6,5	0	6,5	D	GATTI Federico	sv/ng	0	sv/ng
	C	SAMARDZIC Lazar Vujadin	7	3	10	C	MIRETTI Fabio	sv/ng	0	sv/ng
	C	SENSI Stefano	sv/ng	0	sv/ng	C	PAREDES Leandro Daniel	4,5	0	4,5
	C	KRUNIC Rade	6,5	0	6,5	C	CRISTANTE Bryan	5,5	0	5,5
	A	SIMEONE Giovanni Pablo	sv/ng	0	sv/ng	A	PINAMONTI Andrea	4,5	0	4,5
	A	RASPADORI Giacomo	6	-2	4	A	KEAN Moise Bioty	sv/ng	0	sv/ng
	A	MALDINI Daniel	sv/ng	0	sv/ng	A	SUCCESS Isaac	5,5	0	5,5
	p	CAPRILE Elia	sv/ng	0	sv/ng	p	SZCZESNY Wojciech	sv/ng	0	sv/ng
	d	PELLEGRINO Marco	sv/ng	0	sv/ng	d	MARTINEZ QUARTA Lucas	5	-0,5	4,5
	c	BENNACER Ismael	sv/ng	0	sv/ng	d	MINA Yerry Fernando	sv/ng	0	sv/ng
	c	MCKENNIE Weston James	sv/ng	0	sv/ng	a	PAVOLETTI Leonardo	5,5	0	5,5
	
		Risultati incontri
		2a di Serie A
		1a Camp. (1a Andata) Serie A
		Real Moscardelli						Batlard Corporated Inc.
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	OCHOA Francisco Guillermo	7	-1	6	P	FALCONE Wladimiro	6	-2	4
	D	CASALE Nicolo`	4,5	0	4,5	D	CAMBIASO Andrea	5,5	0	5,5
	D	DODO` Domilson Cordeiro	6	0	6	D	DUMFRIES Denzel Justus	6,5	3	9,5
	D	SCHUURS Perr	5	3	8	D	OLIVERA Mathias	6	0	6
	C	CIURRIA Patrick	7	1	8	C	BONAVENTURA Giacomo	5,5	0	5,5
	C	LOVRIC Sandi	6	-0,5	5,5	C	CUADRADO Juan Guillermo	6,5	0	6,5
	C	LUIS ALBERTO Romero Alconchel	6	0	6	C	THAUVIN Florian Tristan	6,5	0	6,5
	C	MARIN Razvan Gabriel	6	0	6	C	ZIELINSKI Piotr Sebastian	6	0	6
	A	ALMQVIST Pontus Skule	6,5	0	6,5	A	BAEZ Jaime	6	0	6
	A	DYBALA Paulo Bruno	5	-0,5	4,5	A	GIROUD Olivier Jonathan	7	4	11
	A	ZACCAGNI Mattia	5,5	-0,5	5	A	VLAHOVIC Dusan	7	3	10
				Parziale squadra	66					Parziale squadra	76,5
				Totale squadra	67					Totale squadra	77
				Gol	1					Gol	3
	
		Sostituiti, panchina e tribuna				Sostituiti, panchina e tribuna		
	P	SKORUPSKI Lukasz	7	-1	6	P	MONTIPO` Lorenzo	6,5	-1	5,5
	D	D`AMBROSIO Danilo	6	0	6	D	POSCH Stefan	6	-0,5	5,5
	D	KRISTENSEN Rasmus Nissen	5	0	5	D	RODRIGUEZ Ricardo Ivan	5	0	5
	D	PARISI Fabiano	5,5	0	5,5	D	ALEX SANDRO Lobo Silva	5	0	5
	D	PEZZELLA Giuseppe	5,5	0	5,5	C	CATALDI Danilo	5	-0,5	4,5
	C	JANKTO Jakub	5	0	5	C	ILIC Ivan	5	-0,5	4,5
	C	BOLOCA Daniel	5,5	0	5,5	C	RICCI Samuele	6	1	7
	C	NDOYE Dan Assane	7	0	7	A	BAJRAMI Nedim	4,5	0	4,5
	A	CAPUTO Francesco	5	0	5	A	PEDRO Rodriguez Ledesma	sv/ng	0	sv/ng
	A	CASTELLANOS Valentin Mariano	5,5	0	5,5	A	MILIK Arkadiusz	6	0	6
	p	SCUFFET Simone	sv/ng	0	sv/ng	p	CONSIGLI Andrea	6,5	-2	4,5
	d	KAYODE Michael Olabode	sv/ng	0	sv/ng	d	MARIO RUI Silva Duarte	sv/ng	0	sv/ng
	c	MAZZITELLI Luca	6	0	6	d	VINA Matias Nicolas	5	0	5
	a	BERARDI Domenico	sv/ng	0	sv/ng	c	ILING-JUNIOR Samuel	6,5	1	7,5
	
		Risultati incontri
		2a di Serie A
		1a Camp. (1a Andata) Serie A
		F.C. Pitbull						ISDA i due porri
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	SOMMER Yann	6,5	0,5	7	P	DI GREGORIO Michele	7	0,5	7,5
	D	BIJOL Jaka	6	0	6	D	BREMER Gleison Silva Nascimento	5	0	5
	D	DIMARCO Federico	6,5	1	7,5	D	DARMIAN Matteo	6	0	6
	D	LUPERTO Sebastiano	5,5	0	5,5	D	DI LORENZO Giovanni	7,5	3	10,5
	C	CANDREVA Antonio	7	0,5	7,5	DR	LLORENTE Diego Javier	5	0	5
	C	EL SHAARAWY Stephan	6,5	0	6,5	C	DE ROON Marten	5	-0,5	4,5
	C	PESSINA Matteo	6,5	0	6,5	C	FERGUSON Lewis	7	3	10
	CR	MANDRAGORA Rolando	5,5	0	5,5	C	LOFTUS-CHEEK Ruben Ira	7	1	8
	A	NZOLA M`Bala	5,5	0	5,5	A	DIA Boulaye	7	3	10
	A	SANABRIA Arnaldo Antonio Ayala	6	0	6	A	LEAO Rafael Alexandre	7	1	8
	AR	BONAZZOLI Federico	6	0	6	A	THURAM Marcus Lilian	7	1	8
				Parziale squadra	69,5					Parziale squadra	82,5
				Totale squadra	70,5					Totale squadra	83,5
				Gol	1					Gol	4
	
		Sostituiti, panchina e tribuna				Sostituiti, panchina e tribuna		
	Cs	KOSTIC Filip	sv/ng	0	sv/ng	Ds	VITI Mattia	sv/ng	0	sv/ng
	As	ARNAUTOVIC Marko	sv/ng	0	sv/ng	A	POLITANO Matteo	6,5	0	6,5
	P	AUDERO Emil	sv/ng	0	sv/ng	A	CASO Giuseppe	sv/ng	0	sv/ng
	D	MARTIN Aaron	6	0	6	A	ORSOLINI Riccardo	5,5	0	5,5
	D	BUONGIORNO Alessandro	5	0	5	C	HARROUI Abderrahman	6,5	3	9,5
	D	HYSAJ Elseid	sv/ng	0	sv/ng	C	DUNCAN Joseph Alfred	7	4	11
	C	ZAMBO ANGUISSA Andre`-Frank	6,5	0	6,5	C	POBEGA Tommaso	sv/ng	0	sv/ng
	C	AZZI Paulo Daniel	5	0	5	D	PONGRACIC Marin	6,5	-0,5	6
	A	ZIRKZEE Joshua Orobosa	7	1	8	D	KABASELE Christian	5,5	-0,5	5
	A	KRSTOVIC Nikola	7	3	10	P	MARTINEZ Josep	6,5	0,5	7
	p	DI GENNARO Raffaele	sv/ng	0	sv/ng	p	CEROFOLINI Michele	6,5	-1	5,5
	d	ACERBI Francesco	sv/ng	0	sv/ng	d	LYKOGIANNIS Charalampos	6	0	6
	d	AUGELLO Tommaso	5,5	0	5,5	c	MESSIAS Junior Walter	sv/ng	0	sv/ng
	c	LAZOVIC Darko	sv/ng	0	sv/ng	c	RAFIA Hamza	7	3	10
	
		Risultati incontri
		2a di Serie A
		1a Camp. (1a Andata) Serie B
		Atletico Van Goof						FC Squirt Game
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	SILVESTRI Marco	6	-1	5	P	MUSSO Juan Agustin	5,5	-2	3,5
	D	KRISTENSEN Rasmus Nissen	5	0	5	D	CAMBIASO Andrea	5,5	0	5,5
	D	PONGRACIC Marin	6,5	-0,5	6	D	DI LORENZO Giovanni	7,5	3	10,5
	D	ROMAGNOLI Alessio	5	0	5	D	DUMFRIES Denzel Justus	6,5	3	9,5
	C	FRATTESI Davide	6	0	6	D	RUGGERI Matteo	5	0	5
	C	REIJNDERS Tijjani	7	0	7	C	CIURRIA Patrick	7	1	8
	C	SAMARDZIC Lazar Vujadin	7	3	10	C	FAGIOLI Nicolo`	5,5	0	5,5
	C	THAUVIN Florian Tristan	6,5	0	6,5	C	RABIOT Adrien	5	-0,5	4,5
	A	PULISIC Christian Mate	7,5	3	10,5	A	BALDANZI Tommaso	5	-0,5	4,5
	A	SCAMACCA Gianluca	6	0	6	A	BELOTTI Andrea	6	0	6
	A	ZACCAGNI Mattia	5,5	-0,5	5	A	MARTINEZ Lautaro Javier	7	3	10
				Parziale squadra	72					Parziale squadra	72,5
				Totale squadra	73					Totale squadra	73
				Gol	2					Gol	2
	
		Sostituiti, panchina e tribuna				Sostituiti, panchina e tribuna		
	P	RADUNOVIC Boris	5,5	-2	3,5	P	CARNESECCHI Marco	sv/ng	0	sv/ng
	D	KARSDORP Rick	5,5	0	5,5	D	LLORENTE Diego Javier	5	0	5
	D	LYKOGIANNIS Charalampos	6	0	6	D	BUONGIORNO Alessandro	5	0	5
	D	BEUKEMA Sam	6,5	0	6,5	D	BELLANOVA Raoul	5,5	0	5,5
	C	POBEGA Tommaso	sv/ng	0	sv/ng	D	DRAGUSIN Radu Matei	6,5	0	6,5
	C	RAMADANI Ylber	6,5	0	6,5	C	KYRIAKOPOULOS Georgios	sv/ng	0	sv/ng
	C	DOMINGUEZ Nicolas Martin	6	0	6	C	NANDEZ Nahitan Michel	6,5	0	6,5
	A	ZIRKZEE Joshua Orobosa	7	1	8	C	ORISTANIO Gaetano	4,5	0	4,5
	A	COLOMBO Lorenzo	sv/ng	0	sv/ng	A	RADONJIC Nemanja	5	0	5
	A	JOVIC Luka	sv/ng	0	sv/ng	A	BAJRAMI Nedim	4,5	0	4,5
	p	SCUFFET Simone	sv/ng	0	sv/ng	p	MILINKOVIC-SAVIC Vanja	6	-4,5	1,5
	d	PELLEGRINI Luca	5,5	-0,5	5	c	FAZZINI Jacopo	5,5	0	5,5
	d	TOLOI Rafael	sv/ng	0	sv/ng	c	HENRIQUE Matheus	5	0	5
	c	MBOULA Jordi	sv/ng	0	sv/ng	a	LUCCA Lorenzo	6,5	1	7,5
	
		Risultati incontri
		2a di Serie A
		1a Camp. (1a Andata) Serie B
		Viuuuleeenza FC						Milfhunters
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	MERET Alex	6	0,5	6,5	P	PROVEDEL Ivan	5,5	-1	4,5
	D	BASCHIROTTO Federico	6	0	6	D	BRADARIC Domagoj	6	-0,5	5,5
	D	SMALLING Christopher Lloyd	5	0	5	D	DIMARCO Federico	6,5	1	7,5
	DR	OLIVERA Mathias	6	0	6	D	PARISI Fabiano	5,5	0	5,5
	DR	AUGELLO Tommaso	5,5	0	5,5	C	BONAVENTURA Giacomo	5,5	0	5,5
	C	AOUAR Houssem	6	2,5	8,5	C	LOVRIC Sandi	6	-0,5	5,5
	C	LUIS ALBERTO Romero Alconchel	6	0	6	C	MKHITARYAN Henrikh	6	-0,5	5,5
	C	PELLEGRINI Lorenzo	5,5	-0,5	5	C	PESSINA Matteo	6,5	0	6,5
	A	GUDMUNDSSON Albert	7,5	0	7,5	A	DIA Boulaye	7	3	10
	A	IMMOBILE Ciro	5,5	-0,5	5	A	DYBALA Paulo Bruno	5	-0,5	4,5
	A	ZAPATA Duvan Esteban	6	3	9	A	THURAM Marcus Lilian	7	1	8
				Parziale squadra	70					Parziale squadra	68,5
				Totale squadra	71					Totale squadra	68,5
				Gol	1					Gol	1
	
		Sostituiti, panchina e tribuna				Sostituiti, panchina e tribuna		
	Ds	BAKKER Mitchel	sv/ng	0	sv/ng	A	ALMQVIST Pontus Skule	6,5	0	6,5
	Ds	MARIO RUI Silva Duarte	sv/ng	0	sv/ng	A	BONAZZOLI Federico	6	0	6
	P	CONSIGLI Andrea	6,5	-2	4,5	C	EDERSON Jose` dos Santos	6,5	1	7,5
	D	SABELLI Stefano	6,5	0	6,5	C	ILIC Ivan	5	-0,5	4,5
	C	MAKOUMBOU Antoine	5	0	5	C	JANKTO Jakub	5	0	5
	C	GONZALEZ Joan	5,5	0	5,5	D	BIJOL Jaka	6	0	6
	C	SULEMANA KAKARI Ibrahim	4,5	0	4,5	D	DOIG Josh Thomas	6	0	6
	A	PINAMONTI Andrea	4,5	0	4,5	D	SCHUURS Perr	5	3	8
	A	MOTA CARVALHO Dany	7	0	7	D	GENDREY Valentin Andre`	6	-0,5	5,5
	p	GOLLINI Pierluigi	sv/ng	0	sv/ng	P	DI GREGORIO Michele	7	0,5	7,5
	d	CACACE Liberato	5	0	5	p	MARTINEZ Josep	6,5	0,5	7
	c	MAGGIORE Giulio	sv/ng	0	sv/ng	d	VITI Mattia	sv/ng	0	sv/ng
	c	PAREDES Leandro Daniel	4,5	0	4,5	c	MESSIAS Junior Walter	sv/ng	0	sv/ng
	a	DEULOFEU Gerard	sv/ng	0	sv/ng	a	TOURE` El Bilal	sv/ng	0	sv/ng
	
		Risultati incontri
		2a di Serie A
		1a Camp. (1a Andata) Serie B
		Scarsenal						FC Longobarda
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	RUI PATRICIO Pedro dos Santos	5	-2	3	P	SOMMER Yann	6,5	0,5	7
	D	BREMER Gleison Silva Nascimento	5	0	5	D	BASTONI Alessandro	6	0	6
	D	DARMIAN Matteo	6	0	6	D	D`AMBROSIO Danilo	6	0	6
	D	SPINAZZOLA Leonardo	5,5	0	5,5	D	DE VRIJ Stefan	6,5	0	6,5
	C	CHUKWUEZE Samuel Chimerenka	6	0	6	C	CALHANOGLU Hakan	6,5	0	6,5
	C	COLPANI Andrea	8	6	14	C	DE ROON Marten	5	-0,5	4,5
	C	CUADRADO Juan Guillermo	6,5	0	6,5	C	GAGLIARDINI Roberto	7,5	0	7,5
